Initial Cost	Cost	Total iterations	Partial iterations	k	lambda
267148.0	212098.0	4000	200	5.0	1.0

267148.0	238777.0	1000	300	25.0	0.001

267148.0	183947.0	2000	300	25.0	0.01

267148.0	177641.0	3000	300	25.0	0.1

267148.0	223601.0	4000	300	25.0	1.0

267148.0	214552.0	1000	400	125.0	0.001

267148.0	187362.0	2000	400	125.0	0.01

267148.0	194088.0	3000	400	125.0	0.1

267148.0	223206.0	4000	400	125.0	1.0

267148.0	197065.0	1000	100	1.0	0.001

267148.0	214333.0	2000	100	1.0	0.01

267148.0	194313.0	3000	100	1.0	0.1

267148.0	217968.0	4000	100	1.0	1.0

267148.0	242061.0	1000	200	5.0	0.001

267148.0	234162.0	2000	200	5.0	0.01

267148.0	171591.0	3000	200	5.0	0.1

267148.0	220334.0	4000	200	5.0	1.0

267148.0	243423.0	1000	300	25.0	0.001

267148.0	191522.0	2000	300	25.0	0.01

267148.0	184313.0	3000	300	25.0	0.1

267148.0	205503.0	4000	300	25.0	1.0

267148.0	271575.0	1000	400	125.0	0.001

267148.0	175180.0	2000	400	125.0	0.01

267148.0	265413.0	3000	400	125.0	0.1

267148.0	203005.0	4000	400	125.0	1.0

267148.0	201558.0	1000	100	1.0	0.001

267148.0	180126.0	2000	100	1.0	0.01

267148.0	184404.0	3000	100	1.0	0.1

267148.0	235658.0	4000	100	1.0	1.0

267148.0	214037.0	1000	200	5.0	0.001

267148.0	184345.0	2000	200	5.0	0.01

267148.0	199127.0	3000	200	5.0	0.1

267148.0	240514.0	4000	200	5.0	1.0

267148.0	202661.0	1000	300	25.0	0.001

267148.0	191901.0	2000	300	25.0	0.01

267148.0	173836.0	3000	300	25.0	0.1

267148.0	203590.0	4000	300	25.0	1.0

267148.0	208612.0	1000	400	125.0	0.001

267148.0	205776.0	2000	400	125.0	0.01

267148.0	165345.0	3000	400	125.0	0.1

